nodeId,parentNode,concept,pageType,role,cluster,primaryIntent,businessPriority,recommendedPublicPath,historicalPathCandidate,newOrHistorical,tier,contentRequired,indexRecommendation,parentDependency,dependencyReady,releaseAfter,batch
MONEY_IPHONE,CORE_BUY_HUB,รับซื้อไอโฟน — รับซื้อ iPhone ทุกซีรีส์ ทุกความจุ เครื่องศูนย์ เครื่องติดสัญญา,MONEY_HUB,MONEY_HUB,iphone,commercial_iphone_buyback,HIGH,/รับซื้อไอโฟน/,/รับซื้อไอโฟน/,HISTORICAL,TIER_1_HIGH_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_BUY_HUB,PENDING,CORE_BUY_HUB,Batch 0 — Foundation & Core Money Hubs
MONEY_IPAD,CORE_BUY_HUB,"รับซื้อไอแพด — รับซื้อ iPad Pro, Air, Mini, Gen ทุกรุ่น ทุกสภาพ",MONEY_HUB,MONEY_HUB,ipad,commercial_ipad_buyback,HIGH,/รับซื้อไอแพด/,/รับซื้อไอแพด/,HISTORICAL,TIER_1_HIGH_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_BUY_HUB,PENDING,CORE_BUY_HUB,Batch 0 — Foundation & Core Money Hubs
MONEY_CAMERA,CORE_BUY_HUB,"รับซื้อกล้อง — รับซื้อกล้อง Mirrorless, DSLR, เลนส์ Canon, Sony, Fujifilm, Nikon",MONEY_HUB,MONEY_HUB,camera,commercial_camera_buyback,HIGH,/รับซื้อกล้อง/,/รับซื้อกล้อง/,HISTORICAL,TIER_1_HIGH_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_BUY_HUB,PENDING,CORE_BUY_HUB,Batch 0 — Foundation & Core Money Hubs
MONEY_SPEAKER,CORE_BUY_HUB,"รับซื้อลำโพง — รับซื้อลำโพง Marshall, JBL, Harman Kardon, B&O, Bose",MONEY_HUB,MONEY_HUB,audio,commercial_speaker_buyback,HIGH,/รับซื้อลำโพง/,/รับซื้อลำโพง/,HISTORICAL,TIER_1_HIGH_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_BUY_HUB,PENDING,CORE_BUY_HUB,Batch 0 — Foundation & Core Money Hubs
MONEY_SCRAP,CORE_BUY_HUB,รับซื้อซากคอมพิวเตอร์ — รับซื้อคอมเสีย ซากอุปกรณ์ IT เหมาประมูลสำนักงาน,MONEY_HUB,MONEY_HUB,enterprise_scrap,commercial_scrap_pc_buyback,HIGH,/รับซื้อซากคอมพิวเตอร์/,/รับซื้อซากคอมพิวเตอร์/,HISTORICAL,TIER_1_HIGH_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_BUY_HUB,PENDING,CORE_BUY_HUB,Batch 1 — High-Equity Historical Money URLs
MONEY_SERVER,MONEY_SCRAP,"รับซื้อ Server — รับซื้อ Rack Server, Blade Server, อุปกรณ์เน็ตเวิร์กองค์กร",MONEY_HUB,MONEY_HUB,enterprise_scrap,commercial_server_buyback,HIGH,/รับซื้อ-server/,/รับซื้อ-server/,HISTORICAL,TIER_2_MODERATE_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_SCRAP,PENDING,MONEY_SCRAP,Batch 2 — Notebook & Computer/Enterprise
MODEL_CAMERA_FUJI,MONEY_CAMERA,"รับซื้อกล้อง Fujifilm — รับซื้อกล้องฟูจิฟิล์ม X-Series, GFX, เลนส์ XF มือสอง",MODEL_MONEY,MODEL_MONEY,camera,model_camera_fujifilm,HIGH,/รับซื้อกล้อง-fujifilm-ฟูจิฟิล์ม/,/รับซื้อกล้อง-fujifilm-ฟูจิฟิล์ม/,HISTORICAL,TIER_2_MODERATE_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_CAMERA,PENDING,MONEY_CAMERA,Batch 4 — Camera & Audio Hubs
LOCAL_SPEAKER_UDON,MONEY_SPEAKER,"รับซื้อลำโพง อุดรธานี — บริการรับซื้อลำโพง Marshall, JBL ถึงที่ในจังหวัดอุดรธานี",LOCAL_MONEY,LOCAL_MONEY,audio,local_speaker_udon,HIGH,/รับซื้อลำโพง-อุดรธานี/,/รับซื้อลำโพง-อุดรธานี/,HISTORICAL,TIER_1_HIGH_EQUITY,READY,INDEX,MONEY_SPEAKER,READY,NOW_ACTIVE,Batch 1 — High-Equity Historical Money URLs
LOCAL_SPEAKER_SARAKHAM,MONEY_SPEAKER,รับซื้อลำโพง มหาสารคาม — จุดรับซื้อลำโพงบลูทูธ ใกล้มหาวิทยาลัยมหาสารคาม,LOCAL_MONEY,LOCAL_MONEY,audio,local_speaker_sarakham,HIGH,/รับซื้อลำโพง-สารคาม/,/รับซื้อลำโพง-สารคาม/,HISTORICAL,TIER_1_HIGH_EQUITY,READY,INDEX,MONEY_SPEAKER,READY,NOW_ACTIVE,Batch 1 — High-Equity Historical Money URLs
LOCAL_SPEAKER_ROIET,MONEY_SPEAKER,รับซื้อลำโพง ร้อยเอ็ด (JBL / Marshall) — บริการรับซื้อลำโพงแบรนด์เนม จังหวัดร้อยเอ็ด,LOCAL_MONEY,LOCAL_MONEY,audio,local_speaker_roiet,HIGH,/รับซื้อลำโพง-ร้อยเอ็ด-jbl-marshall/,/รับซื้อลำโพง-ร้อยเอ็ด-jbl-marshall/,HISTORICAL,TIER_2_MODERATE_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_SPEAKER,PENDING,MONEY_SPEAKER,Batch 4 — Camera & Audio Hubs
LOCAL_SPEAKER_YASOTHON,MONEY_SPEAKER,รับซื้อลำโพง ยโสธร — จุดรับซื้อลำโพงบลูทูธ มือสอง ในเมืองยโสธร,LOCAL_MONEY,LOCAL_MONEY,audio,local_speaker_yasothon,MEDIUM,/รับซื้อลำโพง-ยโสธร/,/รับซื้อลำโพง-ยโสธร/,HISTORICAL,TIER_3_WEAK_BUT_STRATEGIC,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_SPEAKER,PENDING,MONEY_SPEAKER,Batch 4 — Camera & Audio Hubs
LOCAL_NOTEBOOK_UBON,MONEY_NOTEBOOK,รับซื้อโน๊ตบุ๊ค อุบลราชธานี — บริการรับซื้อโน๊ตบุ๊คมือสอง แล็ปท็อป ในอุบลและวารินชำราบ,LOCAL_MONEY,LOCAL_MONEY,notebook,local_notebook_ubon,HIGH,/รับซื้อโน๊ตบุ๊คอุบล-notebook-laptop-จ/,/รับซื้อโน๊ตบุ๊คอุบล-notebook-laptop-จ/,HISTORICAL,TIER_1_HIGH_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,Batch 1 — High-Equity Historical Money URLs
LOCAL_NOTEBOOK_LOEI,MONEY_NOTEBOOK,รับซื้อโน๊ตบุ๊ค เลย — รับซื้อโน๊ตบุ๊คมือสองถึงที่ เมืองเลย วังสะพุง เชียงคาน,LOCAL_MONEY,LOCAL_MONEY,notebook,local_notebook_loei,HIGH,/รับซื้อโน๊ตบุ๊ค-เลย/,/รับซื้อโน๊ตบุ๊ค-เลย/,HISTORICAL,TIER_1_HIGH_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,Batch 1 — High-Equity Historical Money URLs
LOCAL_NOTEBOOK_BURIRAM,MONEY_NOTEBOOK,รับซื้อโน๊ตบุ๊ค บุรีรัมย์ — รับซื้อโน๊ตบุ๊คมือสอง โน๊ตบุ๊คเกมมิ่ง ในจังหวัดบุรีรัมย์,LOCAL_MONEY,LOCAL_MONEY,notebook,local_notebook_buriram,HIGH,/รับซื้อโน๊ตบุ๊ค-บุรีรัม/,/รับซื้อโน๊ตบุ๊ค-บุรีรัม/,HISTORICAL,TIER_1_HIGH_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,Batch 1 — High-Equity Historical Money URLs
LOCAL_NOTEBOOK_CHAIYAPHUM,MONEY_NOTEBOOK,รับซื้อโน๊ตบุ๊ค ชัยภูมิ — บริการรับซื้อโน๊ตบุ๊คทำงาน แล็ปท็อปเล่นเกม ในเมืองชัยภูมิ,LOCAL_MONEY,LOCAL_MONEY,notebook,local_notebook_chaiyaphum,HIGH,/รับซื้อโน๊ตบุ๊ค-ชัยภูมิ/,/รับซื้อโน๊ตบุ๊ค-ชัยภูมิ/,HISTORICAL,TIER_1_HIGH_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,Batch 1 — High-Equity Historical Money URLs
LOCAL_NOTEBOOK_PHON,MONEY_NOTEBOOK,รับซื้อโน๊ตบุ๊ค อำเภอพล ขอนแก่น — บริการรับซื้อโน๊ตบุ๊ค อำเภอพล และโซนใต้ขอนแก่น,LOCAL_MONEY,LOCAL_MONEY,notebook,local_notebook_phon,HIGH,/รับซื้อ-notebook-อำเภอพล-ขอนแก่น/,/รับซื้อ-notebook-อำเภอพล-ขอนแก่น/,HISTORICAL,TIER_1_HIGH_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,Batch 1 — High-Equity Historical Money URLs
LOCAL_NOTEBOOK_SAKON,MONEY_NOTEBOOK,รับซื้อโน๊ตบุ๊ค สกลนคร — รับซื้อโน๊ตบุ๊ค แล็ปท็อป ทุกยี่ห้อ ในจังหวัดสกลนคร,LOCAL_MONEY,LOCAL_MONEY,notebook,local_notebook_sakon,HIGH,/รับซื้อโน๊ตบุ๊ค-สกลนคร/,/รับซื้อโน๊ตบุ๊ค-สกลนคร/,HISTORICAL,TIER_1_HIGH_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,Batch 1 — High-Equity Historical Money URLs
LOCAL_NOTEBOOK_NAKHON_PHANOM,MONEY_NOTEBOOK,รับซื้อโน๊ตบุ๊ค นครพนม — รับซื้อโน๊ตบุ๊คมือสอง ริมฝั่งโขงและในเมืองนครพนม,LOCAL_MONEY,LOCAL_MONEY,notebook,local_notebook_nakhonphanom,HIGH,/รับซื้อโน๊ตบุ๊ค-นครพนม/,/รับซื้อโน๊ตบุ๊ค-นครพนม/,HISTORICAL,TIER_1_HIGH_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,Batch 1 — High-Equity Historical Money URLs
LOCAL_NOTEBOOK_KORAT,MONEY_NOTEBOOK,รับซื้อโน๊ตบุ๊ค นครราชสีมา — บริการรับซื้อโน๊ตบุ๊ค ในตัวเมืองโคราชและรอบมหาวิทยาลัย,LOCAL_MONEY,LOCAL_MONEY,notebook,local_notebook_korat,HIGH,/รับซื้อโน๊ตบุ๊ค-นครราชส/,/รับซื้อโน๊ตบุ๊ค-นครราชส/,HISTORICAL,TIER_1_HIGH_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,Batch 1 — High-Equity Historical Money URLs
LOCAL_NOTEBOOK_YASOTHON,MONEY_NOTEBOOK,รับซื้อโน๊ตบุ๊ค ยโสธร — รับซื้อโน๊ตบุ๊คมือสอง แล็ปท็อป ในเมืองยโสธร,LOCAL_MONEY,LOCAL_MONEY,notebook,local_notebook_yasothon,HIGH,/รับซื้อโน๊ตบุ๊ค-notebook-ยโสธร/,/รับซื้อโน๊ตบุ๊ค-notebook-ยโสธร/,HISTORICAL,TIER_1_HIGH_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,Batch 2 — Notebook & Computer/Enterprise
LOCAL_NOTEBOOK_CHUMPHAE,MONEY_NOTEBOOK,รับซื้อโน๊ตบุ๊ค ชุมแพ ขอนแก่น — จุดรับซื้อโน๊ตบุ๊ค อำเภอชุมแพ และขอนแก่นโซนตะวันตก,LOCAL_MONEY,LOCAL_MONEY,notebook,local_notebook_chumphae,HIGH,/รับซื้อ-notebook-ชุมแพ-ขอนแก่น/,/รับซื้อ-notebook-ชุมแพ-ขอนแก่น/,HISTORICAL,TIER_2_MODERATE_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,Batch 2 — Notebook & Computer/Enterprise
LOCAL_NOTEBOOK_KHONKAEN,MONEY_NOTEBOOK,รับซื้อโน๊ตบุ๊ค ขอนแก่น — จุดรับซื้อโน๊ตบุ๊ค กังสดาล กังหัน รอบ มข. และในเมืองขอนแก่น,LOCAL_MONEY,LOCAL_MONEY,notebook,local_notebook_khonkaen,HIGH,/รับซื้อโน๊ตบุ๊ค-ขอนแก่น/,/รับซื้อโน๊ตบุ๊ค-ขอนแก่น/,HISTORICAL,TIER_2_MODERATE_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,Batch 2 — Notebook & Computer/Enterprise
LOCAL_NOTEBOOK_KALASIN,MONEY_NOTEBOOK,รับซื้อโน๊ตบุ๊ค กาฬสินธุ์ — บริการรับซื้อโน๊ตบุ๊ค ในเมืองกาฬสินธุ์ ยางตลาด กมลาไสย,LOCAL_MONEY,LOCAL_MONEY,notebook,local_notebook_kalasin,HIGH,/รับซื้อโน๊ตบุ๊ค-กาฬสินธ/,/รับซื้อโน๊ตบุ๊ค-กาฬสินธ/,HISTORICAL,TIER_2_MODERATE_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,Batch 2 — Notebook & Computer/Enterprise
LOCAL_NOTEBOOK_UDON,MONEY_NOTEBOOK,รับซื้อโน๊ตบุ๊ค อุดรธานี — บริการรับซื้อโน๊ตบุ๊คมือสอง ในเมืองอุดรธานีและยูดีทาวน์,LOCAL_MONEY,LOCAL_MONEY,notebook,local_notebook_udon,HIGH,/รับซื้อโน๊ตบุ๊ค-อุดรธาน/,/รับซื้อโน๊ตบุ๊ค-อุดรธาน/,HISTORICAL,TIER_2_MODERATE_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,Batch 2 — Notebook & Computer/Enterprise
LOCAL_NOTEBOOK_ROIET,MONEY_NOTEBOOK,รับซื้อโน๊ตบุ๊ค ร้อยเอ็ด — รับซื้อโน๊ตบุ๊คมือสอง ในตัวเมืองร้อยเอ็ดและโพนทอง,LOCAL_MONEY,LOCAL_MONEY,notebook,local_notebook_roiet,HIGH,/รับซื้อโน๊ตบุ๊ค-ร้อยเอ็/,/รับซื้อโน๊ตบุ๊ค-ร้อยเอ็/,HISTORICAL,TIER_2_MODERATE_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,Batch 2 — Notebook & Computer/Enterprise
LOCAL_NOTEBOOK_NONGBUA,MONEY_NOTEBOOK,รับซื้อโน๊ตบุ๊ค หนองบัวลำภู — รับซื้อโน๊ตบุ๊คมือสอง ในเมืองหนองบัวลำภูและศรีบุญเรือง,LOCAL_MONEY,LOCAL_MONEY,notebook,local_notebook_nongbua,HIGH,/รับซื้อโน๊ตบุ๊ค-หนองบัว/,/รับซื้อโน๊ตบุ๊ค-หนองบัว/,HISTORICAL,TIER_2_MODERATE_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,Batch 2 — Notebook & Computer/Enterprise
LOCAL_COMPUTER_UDON,MONEY_COMPUTER,รับซื้อคอม อุดรธานี — รับซื้อคอมพิวเตอร์ตั้งโต๊ะ คอมประกอบ คอมเล่นเกม ในอุดรธานี,LOCAL_MONEY,LOCAL_MONEY,computer,local_computer_udon,HIGH,/รับซื้อคอม-อุดรธานี/,/รับซื้อคอม-อุดรธานี/,HISTORICAL,TIER_1_HIGH_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_COMPUTER,PENDING,MONEY_COMPUTER,Batch 1 — High-Equity Historical Money URLs
LOCAL_COMPUTER_KHONKAEN,MONEY_COMPUTER,รับซื้อคอม ขอนแก่น — รับซื้อคอมพิวเตอร์ คอมเกมมิ่ง เคสคอม ในจังหวัดขอนแก่น,LOCAL_MONEY,LOCAL_MONEY,computer,local_computer_khonkaen,HIGH,/รับซื้อคอม-ขอนแก่น/,/รับซื้อคอม-ขอนแก่น/,HISTORICAL,TIER_1_HIGH_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_COMPUTER,PENDING,MONEY_COMPUTER,Batch 1 — High-Equity Historical Money URLs
LOCAL_COMPUTER_SARAKHAM,MONEY_COMPUTER,รับซื้อคอม มหาสารคาม — บริการรับซื้อคอมพิวเตอร์ PC คอมหอพัก ในมหาสารคาม,LOCAL_MONEY,LOCAL_MONEY,computer,local_computer_sarakham,HIGH,/รับซื้อคอม-สารคาม/,/รับซื้อคอม-สารคาม/,HISTORICAL,TIER_2_MODERATE_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_COMPUTER,PENDING,MONEY_COMPUTER,Batch 2 — Notebook & Computer/Enterprise
LOCAL_IPHONE_SARAKHAM,MONEY_IPHONE,รับซื้อไอโฟน มหาสารคาม — รับซื้อ iPhone มือสอง ทุกรุ่น ทุกสภาพ ในมหาสารคาม,LOCAL_MONEY,LOCAL_MONEY,iphone,local_iphone_sarakham,HIGH,/รับซื้อไอโฟน-มหาสารคาม/,/รับซื้อไอโฟน-มหาสารคาม/,HISTORICAL,TIER_1_HIGH_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_IPHONE,PENDING,MONEY_IPHONE,Batch 1 — High-Equity Historical Money URLs
LOCAL_PHONE_UBON,MONEY_IPHONE,รับซื้อมือถือ อุบลราชธานี — บริการรับซื้อโทรศัพท์มือถือ สมาร์ทโฟน ในอุบลราชธานี,LOCAL_MONEY,LOCAL_MONEY,iphone,local_phone_ubon,HIGH,/รับซื้อมือถือ-อุบล/,/รับซื้อมือถือ-อุบล/,HISTORICAL,TIER_1_HIGH_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_IPHONE,PENDING,MONEY_IPHONE,Batch 1 — High-Equity Historical Money URLs
LOCAL_PHONE_REGIONAL,MONEY_IPHONE,รับซื้อโทรศัพท์มือถือ — ศูนย์รับซื้อมือถือและสมาร์ทโฟนภาคอีสาน,LOCAL_MONEY,LOCAL_MONEY,iphone,local_phone_regional,HIGH,/รับซื้อโทรศัพท์มือถือ-จ/,/รับซื้อโทรศัพท์มือถือ-จ/,HISTORICAL,TIER_1_HIGH_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_IPHONE,PENDING,MONEY_IPHONE,Batch 1 — High-Equity Historical Money URLs
LOCAL_IPHONE_ROIET,MONEY_IPHONE,รับซื้อไอโฟน ร้อยเอ็ด — รับซื้อ iPhone มือสอง เครื่องศูนย์ เครื่องนอก ในร้อยเอ็ด,LOCAL_MONEY,LOCAL_MONEY,iphone,local_iphone_roiet,HIGH,/รับซื้อไอโฟน-iphone-ร้อยเอ็ด/,/รับซื้อไอโฟน-iphone-ร้อยเอ็ด/,HISTORICAL,TIER_2_MODERATE_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_IPHONE,PENDING,MONEY_IPHONE,Batch 3 — iPhone / iPad / MacBook
LOCAL_PHONE_YASOTHON,MONEY_IPHONE,รับซื้อโทรศัพท์มือถือ ยโสธร — รับซื้อมือถือ ไอโฟน แอนดรอยด์ ในเมืองยโสธร,LOCAL_MONEY,LOCAL_MONEY,iphone,local_phone_yasothon,HIGH,/รับซื้อโทรศัพท์-มือถือ-ย/,/รับซื้อโทรศัพท์-มือถือ-ย/,HISTORICAL,TIER_2_MODERATE_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_IPHONE,PENDING,MONEY_IPHONE,Batch 3 — iPhone / iPad / MacBook
LOCAL_IPAD_KHONKAEN,MONEY_IPAD,"รับซื้อ iPad ขอนแก่น — จุดรับซื้อ iPad Pro, iPad Air, iPad Mini ในจังหวัดขอนแก่น",LOCAL_MONEY,LOCAL_MONEY,ipad,local_ipad_khonkaen,HIGH,/รับซื้อไอแพด-ขอนแก่น-ipad/,/รับซื้อไอแพด-ขอนแก่น-ipad/,HISTORICAL,TIER_3_WEAK_BUT_STRATEGIC,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_IPAD,PENDING,MONEY_IPAD,Batch 3 — iPhone / iPad / MacBook
LOCAL_IPAD_YASOTHON,MONEY_IPAD,รับซื้อ iPad ยโสธร — บริการรับซื้อ iPad มือสอง ในตัวเมืองยโสธร,LOCAL_MONEY,LOCAL_MONEY,ipad,local_ipad_yasothon,HIGH,/รับซื้อไอแพด-ยโสธร-ipad/,/รับซื้อไอแพด-ยโสธร-ipad/,HISTORICAL,TIER_3_WEAK_BUT_STRATEGIC,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_IPAD,PENDING,MONEY_IPAD,Batch 3 — iPhone / iPad / MacBook
LOCAL_MACBOOK_KHONKAEN,MONEY_MACBOOK,รับซื้อ MacBook ขอนแก่น — จุดรับซื้อ MacBook รอบ มข. และตัวเมืองขอนแก่น,LOCAL_MONEY,LOCAL_MONEY,macbook,local_macbook_khonkaen,HIGH,/รับซื้อเมืองขอนแก่น/,/รับซื้อเมืองขอนแก่น/,HISTORICAL,TIER_1_HIGH_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_MACBOOK,PENDING,MONEY_MACBOOK,Batch 1 — High-Equity Historical Money URLs
LOCAL_MACBOOK_UDON,MONEY_MACBOOK,"รับซื้อ MacBook อุดรธานี — รับซื้อ MacBook Air, MacBook Pro ในจังหวัดอุดรธานี",LOCAL_MONEY,LOCAL_MONEY,macbook,local_macbook_udon,HIGH,/รับซื้อmacbook-อุดรธานี/,/รับซื้อmacbook-อุดรธานี/,HISTORICAL,TIER_2_MODERATE_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_MACBOOK,PENDING,MONEY_MACBOOK,Batch 3 — iPhone / iPad / MacBook
LOCAL_CAMERA_MUKDAHAN,MONEY_CAMERA,รับซื้อกล้อง มุกดาหาร — บริการรับซื้อกล้องถ่ายรูป เลนส์ มือสอง ในมุกดาหาร,LOCAL_MONEY,LOCAL_MONEY,camera,local_camera_mukdahan,HIGH,/รับซื้อกล้องมือสองมุก/,/รับซื้อกล้องมือสองมุก/,HISTORICAL,TIER_2_MODERATE_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_CAMERA,PENDING,MONEY_CAMERA,Batch 4 — Camera & Audio Hubs
