priority,nodeId,path,cluster,role,tier,urlEquityClass,businessPriority,historicalEvidence,parentDependency,dependencyReady,releaseAfter,contentStatus,recommendedBatch
19,LOCAL_NOTEBOOK_BURIRAM,/รับซื้อโน๊ตบุ๊ค-บุรีรัม/,notebook,LOCAL_MONEY,TIER_1_HIGH_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 20, Imp(90d): 240",MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,CONTENT_REQUIRED,Batch 1 — High-Equity Historical Money URLs
20,LOCAL_NOTEBOOK_LOEI,/รับซื้อโน๊ตบุ๊ค-เลย/,notebook,LOCAL_MONEY,TIER_1_HIGH_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 20, Imp(90d): 164",MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,CONTENT_REQUIRED,Batch 1 — High-Equity Historical Money URLs
21,LOCAL_PHONE_UBON,/รับซื้อมือถือ-อุบล/,iphone,LOCAL_MONEY,TIER_1_HIGH_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 19, Imp(90d): 435",MONEY_IPHONE,PENDING,MONEY_IPHONE,CONTENT_REQUIRED,Batch 1 — High-Equity Historical Money URLs
22,LOCAL_NOTEBOOK_CHAIYAPHUM,/รับซื้อโน๊ตบุ๊ค-ชัยภูมิ/,notebook,LOCAL_MONEY,TIER_1_HIGH_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 15, Imp(90d): 320",MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,CONTENT_REQUIRED,Batch 1 — High-Equity Historical Money URLs
23,LOCAL_NOTEBOOK_PHON,/รับซื้อ-notebook-อำเภอพล-ขอนแก่น/,notebook,LOCAL_MONEY,TIER_1_HIGH_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 15, Imp(90d): 206",MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,CONTENT_REQUIRED,Batch 1 — High-Equity Historical Money URLs
24,MONEY_SCRAP,/รับซื้อซากคอมพิวเตอร์/,enterprise_scrap,MONEY_HUB,TIER_1_HIGH_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 15, Imp(90d): 164",CORE_BUY_HUB,PENDING,CORE_BUY_HUB,CONTENT_REQUIRED,Batch 1 — High-Equity Historical Money URLs
25,LOCAL_IPHONE_SARAKHAM,/รับซื้อไอโฟน-มหาสารคาม/,iphone,LOCAL_MONEY,TIER_1_HIGH_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 14, Imp(90d): 346",MONEY_IPHONE,PENDING,MONEY_IPHONE,CONTENT_REQUIRED,Batch 1 — High-Equity Historical Money URLs
26,LOCAL_NOTEBOOK_SAKON,/รับซื้อโน๊ตบุ๊ค-สกลนคร/,notebook,LOCAL_MONEY,TIER_1_HIGH_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 12, Imp(90d): 276",MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,CONTENT_REQUIRED,Batch 1 — High-Equity Historical Money URLs
27,LOCAL_NOTEBOOK_NAKHON_PHANOM,/รับซื้อโน๊ตบุ๊ค-นครพนม/,notebook,LOCAL_MONEY,TIER_1_HIGH_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 12, Imp(90d): 128",MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,CONTENT_REQUIRED,Batch 1 — High-Equity Historical Money URLs
28,LOCAL_NOTEBOOK_KORAT,/รับซื้อโน๊ตบุ๊ค-นครราชส/,notebook,LOCAL_MONEY,TIER_1_HIGH_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 11, Imp(90d): 296",MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,CONTENT_REQUIRED,Batch 1 — High-Equity Historical Money URLs
29,LOCAL_MACBOOK_KHONKAEN,/รับซื้อเมืองขอนแก่น/,macbook,LOCAL_MONEY,TIER_1_HIGH_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 11, Imp(90d): 133",MONEY_MACBOOK,PENDING,MONEY_MACBOOK,CONTENT_REQUIRED,Batch 1 — High-Equity Historical Money URLs
30,LOCAL_SPEAKER_UDON,/รับซื้อลำโพง-อุดรธานี/,audio,LOCAL_MONEY,TIER_1_HIGH_EQUITY,B_PRESERVE_IMPROVE,HIGH,"Clicks(90d): 6, Imp(90d): 104",MONEY_SPEAKER,READY,NOW_ACTIVE,READY,Batch 1 — High-Equity Historical Money URLs
31,LOCAL_SPEAKER_SARAKHAM,/รับซื้อลำโพง-สารคาม/,audio,LOCAL_MONEY,TIER_1_HIGH_EQUITY,B_PRESERVE_IMPROVE,HIGH,"Clicks(90d): 4, Imp(90d): 28",MONEY_SPEAKER,READY,NOW_ACTIVE,READY,Batch 1 — High-Equity Historical Money URLs
32,LOCAL_NOTEBOOK_YASOTHON,/รับซื้อโน๊ตบุ๊ค-notebook-ยโสธร/,notebook,LOCAL_MONEY,TIER_1_HIGH_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 10, Imp(90d): 76",MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,CONTENT_REQUIRED,Batch 2 — Notebook & Computer/Enterprise
33,LOCAL_NOTEBOOK_KHONKAEN,/รับซื้อโน๊ตบุ๊ค-ขอนแก่น/,notebook,LOCAL_MONEY,TIER_2_MODERATE_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 9, Imp(90d): 506",MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,CONTENT_REQUIRED,Batch 2 — Notebook & Computer/Enterprise
34,LOCAL_NOTEBOOK_KALASIN,/รับซื้อโน๊ตบุ๊ค-กาฬสินธ/,notebook,LOCAL_MONEY,TIER_2_MODERATE_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 9, Imp(90d): 247",MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,CONTENT_REQUIRED,Batch 2 — Notebook & Computer/Enterprise
35,LOCAL_NOTEBOOK_CHUMPHAE,/รับซื้อ-notebook-ชุมแพ-ขอนแก่น/,notebook,LOCAL_MONEY,TIER_2_MODERATE_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 9, Imp(90d): 103",MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,CONTENT_REQUIRED,Batch 2 — Notebook & Computer/Enterprise
36,LOCAL_NOTEBOOK_ROIET,/รับซื้อโน๊ตบุ๊ค-ร้อยเอ็/,notebook,LOCAL_MONEY,TIER_2_MODERATE_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 6, Imp(90d): 187",MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,CONTENT_REQUIRED,Batch 2 — Notebook & Computer/Enterprise
37,LOCAL_NOTEBOOK_NONGBUA,/รับซื้อโน๊ตบุ๊ค-หนองบัว/,notebook,LOCAL_MONEY,TIER_2_MODERATE_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 6, Imp(90d): 61",MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,CONTENT_REQUIRED,Batch 2 — Notebook & Computer/Enterprise
38,LOCAL_NOTEBOOK_UDON,/รับซื้อโน๊ตบุ๊ค-อุดรธาน/,notebook,LOCAL_MONEY,TIER_2_MODERATE_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 5, Imp(90d): 86",MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,CONTENT_REQUIRED,Batch 2 — Notebook & Computer/Enterprise
39,LOCAL_COMPUTER_SARAKHAM,/รับซื้อคอม-สารคาม/,computer,LOCAL_MONEY,TIER_2_MODERATE_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 4, Imp(90d): 107",MONEY_COMPUTER,PENDING,MONEY_COMPUTER,CONTENT_REQUIRED,Batch 2 — Notebook & Computer/Enterprise
40,MONEY_SERVER,/รับซื้อ-server/,enterprise_scrap,MONEY_HUB,TIER_2_MODERATE_EQUITY,A_PRESERVE_REWRITE,HIGH,Strategic New Node,MONEY_SCRAP,PENDING,MONEY_SCRAP,CONTENT_REQUIRED,Batch 2 — Notebook & Computer/Enterprise
41,LOCAL_PHONE_YASOTHON,/รับซื้อโทรศัพท์-มือถือ-ย/,iphone,LOCAL_MONEY,TIER_2_MODERATE_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 9, Imp(90d): 135",MONEY_IPHONE,PENDING,MONEY_IPHONE,CONTENT_REQUIRED,Batch 3 — iPhone / iPad / MacBook
42,LOCAL_IPHONE_ROIET,/รับซื้อไอโฟน-iphone-ร้อยเอ็ด/,iphone,LOCAL_MONEY,TIER_2_MODERATE_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 5, Imp(90d): 174",MONEY_IPHONE,PENDING,MONEY_IPHONE,CONTENT_REQUIRED,Batch 3 — iPhone / iPad / MacBook
43,LOCAL_MACBOOK_UDON,/รับซื้อmacbook-อุดรธานี/,macbook,LOCAL_MONEY,TIER_2_MODERATE_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 4, Imp(90d): 34",MONEY_MACBOOK,PENDING,MONEY_MACBOOK,CONTENT_REQUIRED,Batch 3 — iPhone / iPad / MacBook
44,LOCAL_IPAD_YASOTHON,/รับซื้อไอแพด-ยโสธร-ipad/,ipad,LOCAL_MONEY,TIER_3_WEAK_BUT_STRATEGIC,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 3, Imp(90d): 24",MONEY_IPAD,PENDING,MONEY_IPAD,CONTENT_REQUIRED,Batch 3 — iPhone / iPad / MacBook
45,LOCAL_IPAD_KHONKAEN,/รับซื้อไอแพด-ขอนแก่น-ipad/,ipad,LOCAL_MONEY,TIER_3_WEAK_BUT_STRATEGIC,A_PRESERVE_REWRITE,HIGH,Strategic New Node,MONEY_IPAD,PENDING,MONEY_IPAD,CONTENT_REQUIRED,Batch 3 — iPhone / iPad / MacBook
46,LOCAL_CAMERA_MUKDAHAN,/รับซื้อกล้องมือสองมุก/,camera,LOCAL_MONEY,TIER_2_MODERATE_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 5, Imp(90d): 44",MONEY_CAMERA,PENDING,MONEY_CAMERA,CONTENT_REQUIRED,Batch 4 — Camera & Audio Hubs
47,LOCAL_SPEAKER_ROIET,/รับซื้อลำโพง-ร้อยเอ็ด-jbl-marshall/,audio,LOCAL_MONEY,TIER_2_MODERATE_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 5, Imp(90d): 36",MONEY_SPEAKER,PENDING,MONEY_SPEAKER,CONTENT_REQUIRED,Batch 4 — Camera & Audio Hubs
48,LOCAL_CAMERA_UBON,/รับซื้อกล้องอุบล-กล้องcanon-niko/,camera,LOCAL_MONEY,TIER_2_MODERATE_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 4, Imp(90d): 91",MONEY_CAMERA,PENDING,MONEY_CAMERA,CONTENT_REQUIRED,Batch 4 — Camera & Audio Hubs
49,MODEL_CAMERA_FUJI,/รับซื้อกล้อง-fujifilm-ฟูจิฟิล์ม/,camera,MODEL_MONEY,TIER_2_MODERATE_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 4, Imp(90d): 78",MONEY_CAMERA,PENDING,MONEY_CAMERA,CONTENT_REQUIRED,Batch 4 — Camera & Audio Hubs
50,LOCAL_CAMERA_YASOTHON,/รับซื้อกล้อง-ยโสธร/,camera,LOCAL_MONEY,TIER_2_MODERATE_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 4, Imp(90d): 50",MONEY_CAMERA,PENDING,MONEY_CAMERA,CONTENT_REQUIRED,Batch 4 — Camera & Audio Hubs
51,LOCAL_CAMERA_SISAKET,/รับซื้อกล้องถ่ายรูป-ศรี/,camera,LOCAL_MONEY,TIER_2_MODERATE_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 4, Imp(90d): 41",MONEY_CAMERA,PENDING,MONEY_CAMERA,CONTENT_REQUIRED,Batch 4 — Camera & Audio Hubs
52,LOCAL_SPEAKER_YASOTHON,/รับซื้อลำโพง-ยโสธร/,audio,LOCAL_MONEY,TIER_3_WEAK_BUT_STRATEGIC,A_PRESERVE_REWRITE,MEDIUM,"Clicks(90d): 3, Imp(90d): 28",MONEY_SPEAKER,PENDING,MONEY_SPEAKER,CONTENT_REQUIRED,Batch 4 — Camera & Audio Hubs
53,LOCAL_CAMERA_SURIN,/รับซื้อกล้องมือสองสุร/,camera,LOCAL_MONEY,TIER_3_WEAK_BUT_STRATEGIC,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 0, Imp(90d): 58",MONEY_CAMERA,PENDING,MONEY_CAMERA,CONTENT_REQUIRED,Batch 4 — Camera & Audio Hubs
54,COND_BROKEN_SCREEN,/สภาพสินค้า/จอแตก/,condition,CONDITION_GUIDE,STRATEGIC_NEW,NEW_STRATEGIC_NODE,HIGH,Strategic New Node,CORE_PRICE_CHECK,PENDING,CORE_PRICE_CHECK,CONTENT_REQUIRED,Batch 5 — Condition & Valuation Guides
55,COND_DEAD_POWER,/สภาพสินค้า/เปิดไม่ติด/,condition,CONDITION_GUIDE,STRATEGIC_NEW,NEW_STRATEGIC_NODE,HIGH,Strategic New Node,CORE_PRICE_CHECK,PENDING,CORE_PRICE_CHECK,CONTENT_REQUIRED,Batch 5 — Condition & Valuation Guides
56,COND_BATTERY_DEGRADED,/สภาพสินค้า/แบตเสื่อม/,condition,CONDITION_GUIDE,STRATEGIC_NEW,NEW_STRATEGIC_NODE,HIGH,Strategic New Node,CORE_PRICE_CHECK,PENDING,CORE_PRICE_CHECK,CONTENT_REQUIRED,Batch 5 — Condition & Valuation Guides
57,COND_NO_BOX_ACCESSORY,/สภาพสินค้า/ไม่มีอุปกรณ์/,valuation,VALUATION_GUIDE,STRATEGIC_NEW,NEW_STRATEGIC_NODE,HIGH,Strategic New Node,CORE_PRICE_CHECK,PENDING,CORE_PRICE_CHECK,CONTENT_REQUIRED,Batch 5 — Condition & Valuation Guides
58,COND_SHOULD_REPAIR,/สภาพสินค้า/ควรซ่อมก่อนขายไหม/,valuation,VALUATION_GUIDE,STRATEGIC_NEW,NEW_STRATEGIC_NODE,HIGH,Strategic New Node,CORE_PRICE_CHECK,PENDING,CORE_PRICE_CHECK,CONTENT_REQUIRED,Batch 5 — Condition & Valuation Guides
59,GUIDE_FACTORY_RESET,/คู่มือ/วิธีล้างข้อมูล-factory-reset/,guide,HOW_TO,STRATEGIC_NEW,NEW_STRATEGIC_NODE,HIGH,Strategic New Node,CORE_HOW_TO_SELL,PENDING,CORE_HOW_TO_SELL,CONTENT_REQUIRED,Batch 6 — Decision Guides
60,GUIDE_CHECK_SPECS,/คู่มือ/วิธีตรวจสเปกก่อนขาย/,guide,HOW_TO,STRATEGIC_NEW,NEW_STRATEGIC_NODE,HIGH,Strategic New Node,CORE_HOW_TO_SELL,PENDING,CORE_HOW_TO_SELL,CONTENT_REQUIRED,Batch 6 — Decision Guides
61,GUIDE_PHOTO_VALUATION,/คู่มือ/วิธีถ่ายรูปประเมินราคา/,guide,HOW_TO,STRATEGIC_NEW,NEW_STRATEGIC_NODE,HIGH,Strategic New Node,CORE_HOW_TO_SELL,PENDING,CORE_HOW_TO_SELL,CONTENT_REQUIRED,Batch 6 — Decision Guides
