nodeId,path,pageType,role,cluster,tier,parentDependency,dependencyReady,releaseAfter,recommendedBatch,recommendedTitleDirection,recommendedH1Direction,userProblem,conversionGoal,requiredSections,optionalSections,FAQIntent,schemaTypes,contentDifferentiation
MONEY_MACBOOK,/รับซื้อแมคบุ๊ค/,MONEY_HUB,MONEY_HUB,macbook,TIER_1_HIGH_EQUITY,CORE_BUY_HUB,PENDING,CORE_BUY_HUB,Batch 0 — Foundation & Core Money Hubs,รับซื้อแมคบุ๊ค มือสอง ให้ราคาสูง ประเมินไว | เรารับซื้อ.com,รับซื้อแมคบุ๊ค มือสอง — เช็กราคากลาง ทุกรุ่น ทุกสภาพ,ต้องการขายmacbook แต่ไม่ทราบมูลค่าปัจจุบัน หรือเครื่องมีตำหนิ/ไม่มีอุปกรณ์,ส่งข้อมูลรุ่น สเปก และรูปถ่ายเพื่อประเมินราคา,Category Hero | Model Valuation Matrix | Accepted Condition Tiers | 3-Step Selling Workflow | Inspection Checklist | FAQ | Location / Coverage,Price Trend Table | Common Defect Deductions,รุ่นไหนรับซื้อบ้าง / เครื่องมีตำหนิรับไหม / หักราคาอย่างไร / ใช้เอกสารอะไรบ้าง,"Service, ItemPage, FAQPage",Specific technical hardware checklist for macbook valuation; real price calculation parameters
MONEY_IPHONE,/รับซื้อไอโฟน/,MONEY_HUB,MONEY_HUB,iphone,TIER_1_HIGH_EQUITY,CORE_BUY_HUB,PENDING,CORE_BUY_HUB,Batch 0 — Foundation & Core Money Hubs,รับซื้อไอโฟน มือสอง ให้ราคาสูง ประเมินไว | เรารับซื้อ.com,รับซื้อไอโฟน มือสอง — เช็กราคากลาง ทุกรุ่น ทุกสภาพ,ต้องการขายiphone แต่ไม่ทราบมูลค่าปัจจุบัน หรือเครื่องมีตำหนิ/ไม่มีอุปกรณ์,ส่งข้อมูลรุ่น สเปก และรูปถ่ายเพื่อประเมินราคา,Category Hero | Model Valuation Matrix | Accepted Condition Tiers | 3-Step Selling Workflow | Inspection Checklist | FAQ | Location / Coverage,Price Trend Table | Common Defect Deductions,รุ่นไหนรับซื้อบ้าง / เครื่องมีตำหนิรับไหม / หักราคาอย่างไร / ใช้เอกสารอะไรบ้าง,"Service, ItemPage, FAQPage",Specific technical hardware checklist for iphone valuation; real price calculation parameters
MONEY_IPAD,/รับซื้อไอแพด/,MONEY_HUB,MONEY_HUB,ipad,TIER_1_HIGH_EQUITY,CORE_BUY_HUB,PENDING,CORE_BUY_HUB,Batch 0 — Foundation & Core Money Hubs,รับซื้อไอแพด มือสอง ให้ราคาสูง ประเมินไว | เรารับซื้อ.com,รับซื้อไอแพด มือสอง — เช็กราคากลาง ทุกรุ่น ทุกสภาพ,ต้องการขายipad แต่ไม่ทราบมูลค่าปัจจุบัน หรือเครื่องมีตำหนิ/ไม่มีอุปกรณ์,ส่งข้อมูลรุ่น สเปก และรูปถ่ายเพื่อประเมินราคา,Category Hero | Model Valuation Matrix | Accepted Condition Tiers | 3-Step Selling Workflow | Inspection Checklist | FAQ | Location / Coverage,Price Trend Table | Common Defect Deductions,รุ่นไหนรับซื้อบ้าง / เครื่องมีตำหนิรับไหม / หักราคาอย่างไร / ใช้เอกสารอะไรบ้าง,"Service, ItemPage, FAQPage",Specific technical hardware checklist for ipad valuation; real price calculation parameters
MONEY_SPEAKER,/รับซื้อลำโพง/,MONEY_HUB,MONEY_HUB,audio,TIER_1_HIGH_EQUITY,CORE_BUY_HUB,PENDING,CORE_BUY_HUB,Batch 0 — Foundation & Core Money Hubs,รับซื้อลำโพง มือสอง ให้ราคาสูง ประเมินไว | เรารับซื้อ.com,รับซื้อลำโพง มือสอง — เช็กราคากลาง ทุกรุ่น ทุกสภาพ,ต้องการขายaudio แต่ไม่ทราบมูลค่าปัจจุบัน หรือเครื่องมีตำหนิ/ไม่มีอุปกรณ์,ส่งข้อมูลรุ่น สเปก และรูปถ่ายเพื่อประเมินราคา,Category Hero | Model Valuation Matrix | Accepted Condition Tiers | 3-Step Selling Workflow | Inspection Checklist | FAQ | Location / Coverage,Price Trend Table | Common Defect Deductions,รุ่นไหนรับซื้อบ้าง / เครื่องมีตำหนิรับไหม / หักราคาอย่างไร / ใช้เอกสารอะไรบ้าง,"Service, ItemPage, FAQPage",Specific technical hardware checklist for audio valuation; real price calculation parameters
LOCAL_NOTEBOOK_UBON,/รับซื้อโน๊ตบุ๊คอุบล-notebook-laptop-จ/,LOCAL_MONEY,LOCAL_MONEY,notebook,TIER_1_HIGH_EQUITY,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,Batch 1 — High-Equity Historical Money URLs,รับซื้อโน๊ตบุ๊ค อุบลราชธานี มือสอง รับซื้อถึงที่ ให้ราคาสูง | เรารับซื้อ.com,รับซื้อโน๊ตบุ๊ค อุบลราชธานี มือสอง — บริการรับซื้อถึงบ้าน จ่ายสดทันที,อยู่ในพื้นที่จังหวัด/อำเภอเป้าหมาย ต้องการขายสินค้าใกล้บ้านโดยไม่ต้องเดินทางไกล,นัดหมายเวลารับซื้อถึงที่ หรือส่งพิกัดเพื่อประเมินราคา,Local Area Hero & Coverage | Local Landmark / Service Points | Hardware Valuation Criteria | On-site Pickup Process | Local FAQ | Fast Contact CTA,Same-day Pickup Schedules | Nearby District Travel Policies,รับซื้อถึงที่ในอำเภอไหนบ้าง / มีค่าเดินทางไหม / นัดรับจุดไหนได้บ้าง / จ่ายเงินทันทีไหม,"Service, LocalBusiness, FAQPage","Verified local geography, distinct meeting locations, actual district service boundaries (no cookie-cutter text)"
LOCAL_COMPUTER_UDON,/รับซื้อคอม-อุดรธานี/,LOCAL_MONEY,LOCAL_MONEY,computer,TIER_1_HIGH_EQUITY,MONEY_COMPUTER,PENDING,MONEY_COMPUTER,Batch 1 — High-Equity Historical Money URLs,รับซื้อคอม อุดรธานี มือสอง รับซื้อถึงที่ ให้ราคาสูง | เรารับซื้อ.com,รับซื้อคอม อุดรธานี มือสอง — บริการรับซื้อถึงบ้าน จ่ายสดทันที,อยู่ในพื้นที่จังหวัด/อำเภอเป้าหมาย ต้องการขายสินค้าใกล้บ้านโดยไม่ต้องเดินทางไกล,นัดหมายเวลารับซื้อถึงที่ หรือส่งพิกัดเพื่อประเมินราคา,Local Area Hero & Coverage | Local Landmark / Service Points | Hardware Valuation Criteria | On-site Pickup Process | Local FAQ | Fast Contact CTA,Same-day Pickup Schedules | Nearby District Travel Policies,รับซื้อถึงที่ในอำเภอไหนบ้าง / มีค่าเดินทางไหม / นัดรับจุดไหนได้บ้าง / จ่ายเงินทันทีไหม,"Service, LocalBusiness, FAQPage","Verified local geography, distinct meeting locations, actual district service boundaries (no cookie-cutter text)"
LOCAL_COMPUTER_KHONKAEN,/รับซื้อคอม-ขอนแก่น/,LOCAL_MONEY,LOCAL_MONEY,computer,TIER_1_HIGH_EQUITY,MONEY_COMPUTER,PENDING,MONEY_COMPUTER,Batch 1 — High-Equity Historical Money URLs,รับซื้อคอม ขอนแก่น มือสอง รับซื้อถึงที่ ให้ราคาสูง | เรารับซื้อ.com,รับซื้อคอม ขอนแก่น มือสอง — บริการรับซื้อถึงบ้าน จ่ายสดทันที,อยู่ในพื้นที่จังหวัด/อำเภอเป้าหมาย ต้องการขายสินค้าใกล้บ้านโดยไม่ต้องเดินทางไกล,นัดหมายเวลารับซื้อถึงที่ หรือส่งพิกัดเพื่อประเมินราคา,Local Area Hero & Coverage | Local Landmark / Service Points | Hardware Valuation Criteria | On-site Pickup Process | Local FAQ | Fast Contact CTA,Same-day Pickup Schedules | Nearby District Travel Policies,รับซื้อถึงที่ในอำเภอไหนบ้าง / มีค่าเดินทางไหม / นัดรับจุดไหนได้บ้าง / จ่ายเงินทันทีไหม,"Service, LocalBusiness, FAQPage","Verified local geography, distinct meeting locations, actual district service boundaries (no cookie-cutter text)"
LOCAL_PHONE_REGIONAL,/รับซื้อโทรศัพท์มือถือ-จ/,LOCAL_MONEY,LOCAL_MONEY,iphone,TIER_1_HIGH_EQUITY,MONEY_IPHONE,PENDING,MONEY_IPHONE,Batch 1 — High-Equity Historical Money URLs,รับซื้อโทรศัพท์มือถือ มือสอง รับซื้อถึงที่ ให้ราคาสูง | เรารับซื้อ.com,รับซื้อโทรศัพท์มือถือ มือสอง — บริการรับซื้อถึงบ้าน จ่ายสดทันที,อยู่ในพื้นที่จังหวัด/อำเภอเป้าหมาย ต้องการขายสินค้าใกล้บ้านโดยไม่ต้องเดินทางไกล,นัดหมายเวลารับซื้อถึงที่ หรือส่งพิกัดเพื่อประเมินราคา,Local Area Hero & Coverage | Local Landmark / Service Points | Hardware Valuation Criteria | On-site Pickup Process | Local FAQ | Fast Contact CTA,Same-day Pickup Schedules | Nearby District Travel Policies,รับซื้อถึงที่ในอำเภอไหนบ้าง / มีค่าเดินทางไหม / นัดรับจุดไหนได้บ้าง / จ่ายเงินทันทีไหม,"Service, LocalBusiness, FAQPage","Verified local geography, distinct meeting locations, actual district service boundaries (no cookie-cutter text)"
LOCAL_NOTEBOOK_BURIRAM,/รับซื้อโน๊ตบุ๊ค-บุรีรัม/,LOCAL_MONEY,LOCAL_MONEY,notebook,TIER_1_HIGH_EQUITY,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,Batch 1 — High-Equity Historical Money URLs,รับซื้อโน๊ตบุ๊ค บุรีรัมย์ มือสอง รับซื้อถึงที่ ให้ราคาสูง | เรารับซื้อ.com,รับซื้อโน๊ตบุ๊ค บุรีรัมย์ มือสอง — บริการรับซื้อถึงบ้าน จ่ายสดทันที,อยู่ในพื้นที่จังหวัด/อำเภอเป้าหมาย ต้องการขายสินค้าใกล้บ้านโดยไม่ต้องเดินทางไกล,นัดหมายเวลารับซื้อถึงที่ หรือส่งพิกัดเพื่อประเมินราคา,Local Area Hero & Coverage | Local Landmark / Service Points | Hardware Valuation Criteria | On-site Pickup Process | Local FAQ | Fast Contact CTA,Same-day Pickup Schedules | Nearby District Travel Policies,รับซื้อถึงที่ในอำเภอไหนบ้าง / มีค่าเดินทางไหม / นัดรับจุดไหนได้บ้าง / จ่ายเงินทันทีไหม,"Service, LocalBusiness, FAQPage","Verified local geography, distinct meeting locations, actual district service boundaries (no cookie-cutter text)"
LOCAL_NOTEBOOK_LOEI,/รับซื้อโน๊ตบุ๊ค-เลย/,LOCAL_MONEY,LOCAL_MONEY,notebook,TIER_1_HIGH_EQUITY,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,Batch 1 — High-Equity Historical Money URLs,รับซื้อโน๊ตบุ๊ค เลย มือสอง รับซื้อถึงที่ ให้ราคาสูง | เรารับซื้อ.com,รับซื้อโน๊ตบุ๊ค เลย มือสอง — บริการรับซื้อถึงบ้าน จ่ายสดทันที,อยู่ในพื้นที่จังหวัด/อำเภอเป้าหมาย ต้องการขายสินค้าใกล้บ้านโดยไม่ต้องเดินทางไกล,นัดหมายเวลารับซื้อถึงที่ หรือส่งพิกัดเพื่อประเมินราคา,Local Area Hero & Coverage | Local Landmark / Service Points | Hardware Valuation Criteria | On-site Pickup Process | Local FAQ | Fast Contact CTA,Same-day Pickup Schedules | Nearby District Travel Policies,รับซื้อถึงที่ในอำเภอไหนบ้าง / มีค่าเดินทางไหม / นัดรับจุดไหนได้บ้าง / จ่ายเงินทันทีไหม,"Service, LocalBusiness, FAQPage","Verified local geography, distinct meeting locations, actual district service boundaries (no cookie-cutter text)"
LOCAL_PHONE_UBON,/รับซื้อมือถือ-อุบล/,LOCAL_MONEY,LOCAL_MONEY,iphone,TIER_1_HIGH_EQUITY,MONEY_IPHONE,PENDING,MONEY_IPHONE,Batch 1 — High-Equity Historical Money URLs,รับซื้อมือถือ อุบลราชธานี มือสอง รับซื้อถึงที่ ให้ราคาสูง | เรารับซื้อ.com,รับซื้อมือถือ อุบลราชธานี มือสอง — บริการรับซื้อถึงบ้าน จ่ายสดทันที,อยู่ในพื้นที่จังหวัด/อำเภอเป้าหมาย ต้องการขายสินค้าใกล้บ้านโดยไม่ต้องเดินทางไกล,นัดหมายเวลารับซื้อถึงที่ หรือส่งพิกัดเพื่อประเมินราคา,Local Area Hero & Coverage | Local Landmark / Service Points | Hardware Valuation Criteria | On-site Pickup Process | Local FAQ | Fast Contact CTA,Same-day Pickup Schedules | Nearby District Travel Policies,รับซื้อถึงที่ในอำเภอไหนบ้าง / มีค่าเดินทางไหม / นัดรับจุดไหนได้บ้าง / จ่ายเงินทันทีไหม,"Service, LocalBusiness, FAQPage","Verified local geography, distinct meeting locations, actual district service boundaries (no cookie-cutter text)"
LOCAL_NOTEBOOK_CHAIYAPHUM,/รับซื้อโน๊ตบุ๊ค-ชัยภูมิ/,LOCAL_MONEY,LOCAL_MONEY,notebook,TIER_1_HIGH_EQUITY,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,Batch 1 — High-Equity Historical Money URLs,รับซื้อโน๊ตบุ๊ค ชัยภูมิ มือสอง รับซื้อถึงที่ ให้ราคาสูง | เรารับซื้อ.com,รับซื้อโน๊ตบุ๊ค ชัยภูมิ มือสอง — บริการรับซื้อถึงบ้าน จ่ายสดทันที,อยู่ในพื้นที่จังหวัด/อำเภอเป้าหมาย ต้องการขายสินค้าใกล้บ้านโดยไม่ต้องเดินทางไกล,นัดหมายเวลารับซื้อถึงที่ หรือส่งพิกัดเพื่อประเมินราคา,Local Area Hero & Coverage | Local Landmark / Service Points | Hardware Valuation Criteria | On-site Pickup Process | Local FAQ | Fast Contact CTA,Same-day Pickup Schedules | Nearby District Travel Policies,รับซื้อถึงที่ในอำเภอไหนบ้าง / มีค่าเดินทางไหม / นัดรับจุดไหนได้บ้าง / จ่ายเงินทันทีไหม,"Service, LocalBusiness, FAQPage","Verified local geography, distinct meeting locations, actual district service boundaries (no cookie-cutter text)"
LOCAL_NOTEBOOK_PHON,/รับซื้อ-notebook-อำเภอพล-ขอนแก่น/,LOCAL_MONEY,LOCAL_MONEY,notebook,TIER_1_HIGH_EQUITY,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,Batch 1 — High-Equity Historical Money URLs,รับซื้อโน๊ตบุ๊ค อำเภอพล ขอนแก่น มือสอง รับซื้อถึงที่ ให้ราคาสูง | เรารับซื้อ.com,รับซื้อโน๊ตบุ๊ค อำเภอพล ขอนแก่น มือสอง — บริการรับซื้อถึงบ้าน จ่ายสดทันที,อยู่ในพื้นที่จังหวัด/อำเภอเป้าหมาย ต้องการขายสินค้าใกล้บ้านโดยไม่ต้องเดินทางไกล,นัดหมายเวลารับซื้อถึงที่ หรือส่งพิกัดเพื่อประเมินราคา,Local Area Hero & Coverage | Local Landmark / Service Points | Hardware Valuation Criteria | On-site Pickup Process | Local FAQ | Fast Contact CTA,Same-day Pickup Schedules | Nearby District Travel Policies,รับซื้อถึงที่ในอำเภอไหนบ้าง / มีค่าเดินทางไหม / นัดรับจุดไหนได้บ้าง / จ่ายเงินทันทีไหม,"Service, LocalBusiness, FAQPage","Verified local geography, distinct meeting locations, actual district service boundaries (no cookie-cutter text)"
MONEY_SCRAP,/รับซื้อซากคอมพิวเตอร์/,MONEY_HUB,MONEY_HUB,enterprise_scrap,TIER_1_HIGH_EQUITY,CORE_BUY_HUB,PENDING,CORE_BUY_HUB,Batch 1 — High-Equity Historical Money URLs,รับซื้อซากคอมพิวเตอร์ มือสอง ให้ราคาสูง ประเมินไว | เรารับซื้อ.com,รับซื้อซากคอมพิวเตอร์ มือสอง — เช็กราคากลาง ทุกรุ่น ทุกสภาพ,ต้องการขายenterprise_scrap แต่ไม่ทราบมูลค่าปัจจุบัน หรือเครื่องมีตำหนิ/ไม่มีอุปกรณ์,ส่งข้อมูลรุ่น สเปก และรูปถ่ายเพื่อประเมินราคา,Category Hero | Model Valuation Matrix | Accepted Condition Tiers | 3-Step Selling Workflow | Inspection Checklist | FAQ | Location / Coverage,Price Trend Table | Common Defect Deductions,รุ่นไหนรับซื้อบ้าง / เครื่องมีตำหนิรับไหม / หักราคาอย่างไร / ใช้เอกสารอะไรบ้าง,"Service, ItemPage, FAQPage",Specific technical hardware checklist for enterprise_scrap valuation; real price calculation parameters
LOCAL_IPHONE_SARAKHAM,/รับซื้อไอโฟน-มหาสารคาม/,LOCAL_MONEY,LOCAL_MONEY,iphone,TIER_1_HIGH_EQUITY,MONEY_IPHONE,PENDING,MONEY_IPHONE,Batch 1 — High-Equity Historical Money URLs,รับซื้อไอโฟน มหาสารคาม มือสอง รับซื้อถึงที่ ให้ราคาสูง | เรารับซื้อ.com,รับซื้อไอโฟน มหาสารคาม มือสอง — บริการรับซื้อถึงบ้าน จ่ายสดทันที,อยู่ในพื้นที่จังหวัด/อำเภอเป้าหมาย ต้องการขายสินค้าใกล้บ้านโดยไม่ต้องเดินทางไกล,นัดหมายเวลารับซื้อถึงที่ หรือส่งพิกัดเพื่อประเมินราคา,Local Area Hero & Coverage | Local Landmark / Service Points | Hardware Valuation Criteria | On-site Pickup Process | Local FAQ | Fast Contact CTA,Same-day Pickup Schedules | Nearby District Travel Policies,รับซื้อถึงที่ในอำเภอไหนบ้าง / มีค่าเดินทางไหม / นัดรับจุดไหนได้บ้าง / จ่ายเงินทันทีไหม,"Service, LocalBusiness, FAQPage","Verified local geography, distinct meeting locations, actual district service boundaries (no cookie-cutter text)"
