path,legacySource,wpPostId,legacyTitle,legacyCanonical,legacyIndexable,legacySitemap,historicalEvidence,equivalentPath,recommendedState,redirectTarget,confidence,reason,ownerReviewRequired
"/1477/","src/content/posts/1477.md","1477","รับซื้อกล้องมือสอง บุรีรัมย์","/รับซื้อกล้อง/","NO (redirected via public/_redirects)","NO","Raw WordPress numeric post ID for 1477.md. The semantic slug /รับซื้อกล้องมือสอง-บุรี/ is in 44 301 Redirects registry.","/รับซื้อกล้อง/","DRAFT","","HIGH","Internal numeric ID. Semantic slug handled by 301 Redirect. Numeric alias retained as DRAFT (HTTP 404 private).","NO"
"/1480/","src/content/posts/1480.md","1480","Buy Camera Sisaket","/รับซื้อกล้อง/","NO (noindex: true, 36 words)","NO","Raw WordPress numeric post ID for 1480.md (buy-camera-sisaket, 36 words). Canonical pointed to /รับซื้อกล้อง/. Not in 63 approved survivors.","/รับซื้อกล้อง/","DRAFT","","HIGH","WordPress internal numeric ID alias for thin English slug. Retained as DRAFT (HTTP 404 private).","NO"
"/1482/","src/content/posts/1482.md","1482","Buy Camera Yasothon","/รับซื้อกล้อง/","NO (noindex: true, 36 words)","NO","Raw WordPress numeric post ID for 1482.md (buy-camera-yasothon, 36 words). Canonical pointed to /รับซื้อกล้อง/. Not in 63 approved survivors.","/รับซื้อกล้อง/","DRAFT","","HIGH","WordPress internal numeric ID alias for thin English slug. Retained as DRAFT (HTTP 404 private).","NO"
"/1494/","src/content/posts/1494.md","1494","Buy Camera Udon","/รับซื้อกล้อง/","NO (noindex: true, 35 words)","NO","Raw WordPress numeric post ID for 1494.md (buy-camera-udon, 35 words). Canonical pointed to /รับซื้อกล้อง/. Not in 63 approved survivors.","/รับซื้อกล้อง/","DRAFT","","HIGH","WordPress internal numeric ID alias for thin English slug. Retained as DRAFT (HTTP 404 private).","NO"
"/1498/","src/content/posts/1498.md","1498","Buy Camera Mukdahan","/รับซื้อกล้อง/","NO (noindex: true, 36 words)","NO","Raw WordPress numeric post ID for 1498.md (buy-camera-mukdahan, 36 words). Canonical pointed to /รับซื้อกล้อง/. Not in 63 approved survivors.","/รับซื้อกล้อง/","DRAFT","","HIGH","WordPress internal numeric ID alias for thin English slug. Retained as DRAFT (HTTP 404 private).","NO"
"/1500/","src/content/posts/1500.md","1500","Buy Camera Nakonpanom","/รับซื้อกล้อง/","NO (noindex: true, 35 words)","NO","Raw WordPress numeric post ID for 1500.md (buy-camera-nakonpanom, 35 words). Canonical pointed to /รับซื้อกล้อง/. Not in 63 approved survivors.","/รับซื้อกล้อง/","DRAFT","","HIGH","WordPress internal numeric ID alias for thin English slug. Retained as DRAFT (HTTP 404 private).","NO"
"/1502/","src/content/posts/1502.md","1502","Buy Camera Sakonnakon","/รับซื้อกล้อง/","NO (noindex: true, 36 words)","NO","Raw WordPress numeric post ID for 1502.md (buy-camera-sakonnakon, 36 words). Canonical pointed to /รับซื้อกล้อง/. Not in 63 approved survivors.","/รับซื้อกล้อง/","DRAFT","","HIGH","WordPress internal numeric ID alias for thin English slug. Retained as DRAFT (HTTP 404 private).","NO"
"/1504/","src/content/posts/1504.md","1504","Buy Camera Bungkan","/รับซื้อกล้อง/","NO (noindex: true, 37 words)","NO","Raw WordPress numeric post ID for 1504.md (buy-camera-bungkan, 37 words). Canonical pointed to /รับซื้อกล้อง/. Not in 63 approved survivors.","/รับซื้อกล้อง/","DRAFT","","HIGH","WordPress internal numeric ID alias for thin English slug. Retained as DRAFT (HTTP 404 private).","NO"
"/1508/","src/content/posts/1508.md","1508","Buy Camera Chaiyaphum","/รับซื้อกล้อง/","NO (noindex: true, 39 words)","NO","Raw WordPress numeric post ID for 1508.md (buy-camera-chaiyaphum, 39 words). Canonical pointed to /รับซื้อกล้อง/. Not in 63 approved survivors.","/รับซื้อกล้อง/","DRAFT","","HIGH","WordPress internal numeric ID alias for thin English slug. Retained as DRAFT (HTTP 404 private).","NO"
"/1511/","src/content/posts/1511.md","1511","รับซื้อ Harddisk","self","NO (noindex: true, 44 words)","NO","Raw WordPress numeric post ID for 1511.md (รับซื้อ-harddisk, 44 words). Not in 63 approved survivors.","/รับซื้อคอมประกอบ/","DRAFT","","HIGH","WordPress internal numeric ID alias for thin hardware slug. Retained as DRAFT (HTTP 404 private).","NO"
"/1515/","src/content/posts/1515.md","1515","รับซื้อฮาร์ดดิส","self","NO (noindex: true, 42 words)","NO","Raw WordPress numeric post ID for 1515.md (รับซื้อฮาร์ดดิส, 42 words). Not in 63 approved survivors.","/รับซื้อคอมประกอบ/","DRAFT","","HIGH","WordPress internal numeric ID alias for thin hardware slug. Retained as DRAFT (HTTP 404 private).","NO"
"/1517/","src/content/posts/1517.md","1517","We Buy Harddisk","self","NO (noindex: true, 44 words)","NO","Raw WordPress numeric post ID for 1517.md (we-buy-harddisk, 44 words). Not in 63 approved survivors.","/รับซื้อคอมประกอบ/","DRAFT","","HIGH","WordPress internal numeric ID alias for thin hardware slug. Retained as DRAFT (HTTP 404 private).","NO"
